Group,Vid.Name,Location,Year,Month,Day,Date,Floral.fam,Floral.genus,Floral.sp,Bee.sp,Total.time.vid,Percent.constancy,Total.forage.behaviors,Total.flowers.visited,Total.Filmed.Behavior,Total.time.Scrape,New_Scrape,Percent.Scrape,Total.Time.RB,New_RB,Percent.RB,Total.Time.RF,New_RF,Percent.RF,Total.Time.Fly,New_Fly,Percent.Fly,Total.Time.Tap,New_Tap,Percent.Tap,Total.Time.Aggr,Total.Time.Mat,Avg.Temp,Max.Temp,Min.Temp,Temp.during,humidity.at.time,total.site.area,total.used.area,flowers.in.bloom,500m.imp.avg,percent.bin.1.IMP,percent.bin.2.IMP,percent.bin.3.IMP,percent.bin.4.IMP,percent.bin.5.IMP,Developed.Open,Developed.Low.Intensity,Developed.High.Intensity,percent.over.50IMP
Urban,vid4_13th_aug1121,ON,2021,Aug,11,08.11.21,Asteracaea,Zinnia,Z.elegans,H.ligatus,73,100,2,3,82.782,54.821,0.662233336,0.750972603,25.826,0.311976033,0.353780822,0,0,0,2.135,0.025790631,0.029246575,0,0,0,0,0,88,96,81,90,57,1949,1437,13,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,vid6_13th_aug1121,ON,2021,Aug,11,08.11.21,Asteracaea,Sanvitalia,S.procumbens,H.ligatus,80,100,2,9,63.497,53.786,0.847063641,0.672325,5.173,0.081468416,0.0646625,0,0,0,4.538,0.071467943,0.056725,0,0,0,0,0,88,96,81,90,57,1949,1437,13,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,vid7_13th__jul621,ON,2021,Jul,6,07.06.21,Asteracaea,Ratibida,R.pinnata,H.ligatus,108,100,3,5,74.151,50.076,0.675324675,0.463666667,6.512,0.087820798,0.060296296,0,0,0,12.042,0.162398349,0.1115,5.521,0.074456177,0.05112037,0,0,85,91,74,87,49,1949,1437,15,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,vid4_13th_jul621,ON,2021,Jul,6,07.06.21,Asteracaea,Sonchus,S.oleraceus,H.ligatus,109,50,2,9,94.4638,48.082,0.508999215,0.441119266,36.204,0.383257925,0.332146789,0,0,0,10.1778,0.10774286,0.093374312,0,0,0,0,0,85,91,74,87,49,1949,1437,15,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,JuneHL13th2,ON,2019,Jun,6,06.06.19,Asteracaea,Canendula,C.officinalis,H.ligatus,108,100,2,4,48.116,45.009,0.935426885,0.41675,1.979,0.04112977,0.018324074,0,0,0,1.128,0.023443345,0.010444444,0,0,0,0,0,77,88,68,80,57,1949,1437,19,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,vid7_13th_jul2321,ON,2021,Jul,23,07.23.21,Asteracaea,Grindelia,G.species,H.ligatus,27,100,2,2,28.405,15.236,0.536384439,0.564296296,9.749,0.343214223,0.361074074,0,0,0,3.42,0.120401338,0.126666667,0,0,0,0,0,84,93,76,86,59,1949,1437,18,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,vid3_13th_aug1121,ON,2021,Aug,11,08.11.21,Convolvulaceae,Convolvulus,C.arvensis,H.ligatus,29,100,3,6,30.746,14.994,0.487673193,0.517034483,7.498,0.243869121,0.258551724,1.75,0.056917973,0.060344828,6.504,0.211539712,0.224275862,0,0,0,0,0,88,96,81,90,57,1949,1437,13,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,Sept113th5,ON,2020,Sept,1,09.01.20,Asteracaea,Rudbeckia,R.hirta,H.ligatus,30,100,1,4,17.916,14.246,0.795155169,0.474866667,0,0,0,0,0,0,3.67,0.204844831,0.122333333,0,0,0,0,0,77,87,70,78,74,1949,1437,3,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,AUGHL13th2,ON,2019,Aug,5,08.05.19,Asteracaea,Zinnia,Z.elegans,H.ligatus,22,100,2,4,31.015,13.755,0.443495083,0.625227273,12.257,0.395195873,0.557136364,0,0,0,5.003,0.161309044,0.227409091,0,0,0,0,0,81,91,71,87,48,1949,1437,6,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,vid1_13th_jul2821,ON,2021,Jul,28,07.28.21,Asteracaea,Rudbeckia,R.hirta,H.ligatus,28,100,2,2,10.866,7.047,0.64853672,0.251678571,2.417,0.222436959,0.086321429,0,0,0,1.402,0.129026321,0.050071429,0,0,0,0,0,85,94,74,88,55,1949,1437,18,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,Aug2513th11,ON,2020,Aug,25,08.25.20,Asteracaea,Rudbeckia,R.hirta,H.ligatus,30,100,1,2,8.51,6.757,0.794007051,0.225233333,0,0,0,0,0,0,1.753,0.205992949,0.058433333,0,0,0,0,0,84,94,77,88,53,1949,1437,4,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,vid1_13th_jun321,ON,2021,Jun,3,06.03.21,Asteracaea,Achillea,A.millefolium,H.ligatus,13,100,2,2,5.94,5.306,0.893265993,0.408153846,0,0,0,0,0,0,0.634,0.106734007,0.048769231,0,0,0,0,0,74,83,65,78,52,1949,1437,13,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,Aug2513th8,ON,2020,Aug,25,08.25.20,Asteracaea,Rudbeckia,R.hirta,H.ligatus,15,100,2,1,8.497,5.249,0.61774744,0.349933333,2.247,0.264446275,0.1498,0,0,0,1.001,0.117806285,0.066733333,0,0,0,0,0,84,94,77,88,53,1949,1437,4,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
Urban,JulHL13th2,ON,2019,Jul,3,07.03.19,Asteracaea,Helenium,H.autumnale,H.ligatus,9,100,1,1,6.106,4.905,0.803308221,0.545,0,0,0,0,0,0,1.201,0.196691779,0.133444444,0,0,0,0,0,81,92,75,88,57,1949,1437,9,Bin4,0.714,1.014,12.77,53.296,32.20657277,3.106,1.399,0.228,80.019
